,id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,from,from_id,reply_to_message_id,photo,photo_file_size,width,height,edited,edited_unixtime,reactions,inviter,members,file,file_name,file_size,thumbnail,thumbnail_file_size,mime_type,location_information,forwarded_from,media_type,sticker_emoji,duration_seconds,poll,via_bot,place_name,address,message_id
1,2,message,2022-09-20T17:37:39,1663688259,,,,,"да, мне его прислали на немецкий адрес","[{'type': 'plain', 'text': 'да, мне его прислали на немецкий адрес'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,message,2022-09-20T17:37:46,1663688266,,,,,хозяин квартиры сообщил мне об этом,"[{'type': 'plain', 'text': 'хозяин квартиры сообщил мне об этом'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,message,2022-09-20T17:37:51,1663688271,,,,,"Ого, ничего себе!","[{'type': 'plain', 'text': 'Ого, ничего себе!'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,message,2022-09-20T17:38:01,1663688281,,,,,А где ты указывала адрес?,"[{'type': 'plain', 'text': 'А где ты указывала адрес?'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,message,2022-09-20T17:38:09,1663688289,,,,,хмхм,"[{'type': 'plain', 'text': 'хмхм'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,message,2022-09-20T17:38:12,1663688292,,,,,хороший вопрос,"[{'type': 'plain', 'text': 'хороший вопрос'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,message,2022-09-20T17:38:25,1663688305,,,,,я обновила адреса на примусе,"[{'type': 'plain', 'text': 'я обновила адреса на примусе'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,message,2022-09-20T17:39:01,1663688341,,,,,больше не припомню чтобы где-то я писала его,"[{'type': 'plain', 'text': 'больше не припомню чтобы где-то я писала его'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,message,2022-09-20T17:39:36,1663688376,,,,,А давно?),"[{'type': 'plain', 'text': 'А давно?)'}]",Evgenia,user5666393736,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,message,2022-09-20T17:40:29,1663688429,,,,,,[],Ange,user1111943893,,(File not included. Change data exporting settings to download.),241273.0,720.0,1280.0,,,,,,,,,,,,,,,,,,,,,
11,12,message,2022-09-20T17:40:38,1663688438,,,,,ух,"[{'type': 'plain', 'text': 'ух'}]",Ange,user1111943893,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,message,2022-09-20T17:41:00,1663688460,,,,,я думаю там недели 2-3 прошло,"[{'type': 'plain', 'text': 'я думаю там недели 2-3 прошло'}]",Ange,user1111943893,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,message,2022-09-20T17:41:10,1663688470,,,,,"Поняла, спасибо!","[{'type': 'plain', 'text': 'Поняла, спасибо!'}]",Evgenia,user5666393736,,,,,,2022-09-20T17:41:25,1663688485,"[{'type': 'emoji', 'count': 1, 'emoji': '👍', 'recent': [{'from': 'Ange', 'from_id': 'user1111943893', 'date': '2022-09-20T17:41:26'}]}]",,,,,,,,,,,,,,,,,,
14,15,message,2022-09-20T20:46:29,1663699589,,,,,"Товарищи, есть ли кто то из вас на International managment  в деггендорфе?","[{'type': 'plain', 'text': 'Товарищи, есть ли кто то из вас на International managment  в деггендорфе?'}]",Милый Друг,user687550967,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,message,2022-09-20T20:47:42,1663699662,,,,,-,"[{'type': 'plain', 'text': '-'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,message,2022-09-22T07:45:37,1663825537,,,,,Есть кто нибудь из вас на International Tourism management?,"[{'type': 'plain', 'text': 'Есть кто нибудь из вас на International Tourism management?'}]",Rustam,user756596349,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,message,2022-09-22T08:07:32,1663826852,,,,,"Я на туризме, но не зачислена ещё.","[{'type': 'plain', 'text': 'Я на туризме, но не зачислена ещё.'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,message,2022-09-22T08:09:04,1663826944,,,,,"Кто недавно присоединился, расскажите, на каких вы направлениях)","[{'type': 'plain', 'text': 'Кто недавно присоединился, расскажите, на каких вы направлениях)'}]",Evgenia,user5666393736,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,message,2022-09-22T08:09:27,1663826967,,,,,Искусственный интеллект,"[{'type': 'plain', 'text': 'Искусственный интеллект'}]",Maxim Lapitan,user1281170230,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,message,2022-09-22T08:09:36,1663826976,,,,,Бакалавр,"[{'type': 'plain', 'text': 'Бакалавр'}]",Maxim Lapitan,user1281170230,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,message,2022-09-22T08:09:50,1663826990,,,,,сам с казахстана,"[{'type': 'plain', 'text': 'сам с казахстана'}]",Maxim Lapitan,user1281170230,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,message,2022-09-22T08:10:16,1663827016,,,,,"International Management, бакалавриат 🌞","[{'type': 'plain', 'text': 'International Management, бакалавриат 🌞'}]",Victoria,user136236602,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,message,2022-09-22T08:10:48,1663827048,,,,,технический дизайн бакалавр,"[{'type': 'plain', 'text': 'технический дизайн бакалавр'}]",alina,user481369631,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,message,2022-09-22T08:29:59,1663828199,,,,,Машиностроение бакалавр,"[{'type': 'plain', 'text': 'Машиностроение бакалавр'}]",iPhonein,user691842768,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,message,2022-09-22T09:24:52,1663831492,,,,,тоже,"[{'type': 'plain', 'text': 'тоже'}]",Aza Natürlich,user1197228025,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,message,2022-09-22T09:45:37,1663832737,,,,,Всем привет☺️,"[{'type': 'plain', 'text': 'Всем привет☺️'}]",Yulia Kobeleva,user257476133,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,message,2022-09-22T09:45:59,1663832759,,,,,Я,"[{'type': 'plain', 'text': 'Я'}]",Yulia Kobeleva,user257476133,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,message,2022-09-22T09:46:20,1663832780,,,,,Ооо,"[{'type': 'plain', 'text': 'Ооо'}]",Maxim Lapitan,user1281170230,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,message,2022-09-22T09:47:35,1663832855,,,,,Gut),"[{'type': 'plain', 'text': 'Gut)'}]",Rustam,user756596349,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,message,2022-09-22T09:54:34,1663833274,,,,,Тоже),"[{'type': 'plain', 'text': 'Тоже)'}]",Nikolai Sokolov,user675316591,27.0,,,,,2022-09-22T10:07:33,1663834053,"[{'type': 'emoji', 'count': 2, 'emoji': '👍', 'recent': [{'from': 'Yulia Kobeleva', 'from_id': 'user257476133', 'date': '2022-09-22T10:37:25'}, {'from': 'Victoria', 'from_id': 'user136236602', 'date': '2022-09-22T10:07:33'}]}]",,,,,,,,,,,,,,,,,,
40,41,message,2022-09-22T10:16:23,1663834583,,,,,"Всем привет! Кто- то может знает, мед страховку обязательно с октября делать? Приеду в ноябре только, деньги на ветер не хочу бросать, универ не отвечает","[{'type': 'plain', 'text': 'Всем привет! Кто- то может знает, мед страховку обязательно с октября делать? Приеду в ноябре только, деньги на ветер не хочу бросать, универ не отвечает'}]",Людмила,user2021223546,,,,,,,,,,,,,,,,,,,,,,,,,,
